STOCK,HOLDER NAME, SHARES 
TEL PM Equity,"LARRGO SECURITIES CO., INC. "," 3,719.00 "
TEL PM Equity,"EQUITIWORLD SECURITIES, INC. "," 3,693.00 "
TEL PM Equity,"LOPEZ, LOCSIN, LEDESMA & CO., INC. "," 3,648.00 "
TEL PM Equity,"GOLDEN TOWER SECURITIES & HOLDINGS, INC. "," 3,304.00 "
TEL PM Equity,SALISBURY SECURITIES CORPORATION ," 2,981.00 "
TEL PM Equity,"SARANGANI SECURITIES, INC. "," 2,860.00 "
TEL PM Equity,"NEW WORLD SECURITIES CO., INC. "," 2,703.00 "
TEL PM Equity,ASTRA SECURITIES CORPORATION ," 2,656.00 "
TEL PM Equity,"FIDELITY SECURITIES, INC. "," 2,508.00 "
TEL PM Equity,BDO-TIG SECURITIES SERVICES ," 1,285.00 "
TEL PM Equity,"LUYS SECURITIES COMPANY, INC. "," 1,193.00 "
TEL PM Equity,ASIA PACIFIC CAPITAL EQUITIES & SECURITIES CORP. ," 1,054.00 "
TEL PM Equity,"COCOPLANS, INC. "," 1,000.00 "
TEL PM Equity,"COHERCO SECURITIES, INC. ", 965.00 
TEL PM Equity,SINCERE SECURITIES CORPORATION , 900.00 
TEL PM Equity,"I. ACKERMAN & CO., INC. ", 897.00 
TEL PM Equity,WONG SECURITIES CORPORATION , 618.00 
TEL PM Equity,EAST WEST CAPITAL CORPORATION , 545.00 
TEL PM Equity,APEX PHILIPPINES EQUITIES CORPORATION , 390.00 
TEL PM Equity,"MACQUARIE CAPITAL SECURITIES (PHILIPPINES), INC. ", 383.00 
TEL PM Equity,"VICSAL SECURITIES & STOCK BROKERAGE, INC. ", 115.00 
TEL PM Equity,"E.SECURITIES, INC. ", 111.00 
TEL PM Equity,"LUNA SECURITIES, INC. ", 102.00 
TEL PM Equity,"MOUNT PEAK SECURITIES, INC. ", 46.00 
TEL PM Equity,EQUITABLE SECURIITES (PHILS.) INC. , 44.00 
TEL PM Equity,"R & L INVESTMENTS, INC. ", 32.00 
TEL PM Equity,MARINO OLONDRIZ Y CIA , 20.00 
TEL PM Equity,TRENDLINE SECURITIES CORPORATION , 15.00 
TEL PM Equity,"HK SECURITIES, INC. ", 12.00 
TEL PM Equity,JAKA SECURITIES CORP. , 11.00 
TEL PM Equity,"LIPPO SECURITIES, INC. ", 8.00 
TEL PM Equity,"PRYCE SECURITIES, INC. ", 3.00 
AEV PM Equity,UPCC SECURITIES CORP.," 31,400.00 "
AEV PM Equity,"A & A SECURITIES, INC."," 698,732.00 "
AEV PM Equity,ABACUS SECURITIES CORPORATION," 8,706,120.00 "
AEV PM Equity,PHILSTOCKS FINANCIAL INC," 577,425.00 "
AEV PM Equity,A. T. DE CASTRO SECURITIES CORP.," 382,630.00 "
AEV PM Equity,ALL ASIA SECURITIES MANAGEMENT CORP.," 1,678.00 "
AEV PM Equity,ALPHA SECURITIES CORP.," 81,400.00 "
AEV PM Equity,"BA SECURITIES, INC."," 248,630.00 "
AEV PM Equity,AP SECURITIES INCORPORATED," 461,447.00 "
AEV PM Equity,"ANSALDO, GODINEZ & CO., INC."," 1,127,479.00 "
AEV PM Equity,"AB CAPITAL SECURITIES, INC."," 9,240,817.00 "
AEV PM Equity,"SARANGANI SECURITIES, INC."," 1,250.00 "
AEV PM Equity,"SB EQUITIES, INC."," 5,580,917.00 "
AEV PM Equity,ASIA PACIFIC CAPITAL EQUITIES & SECURITIES CORP.," 49,407.00 "
AEV PM Equity,"ASIASEC EQUITIES, INC."," 187,420.00 "
AEV PM Equity,ASTRA SECURITIES CORPORATION," 1,042,350.00 "
AEV PM Equity,CHINA BANK SECURITIES CORPORATION," 1,727,740.00 "
AEV PM Equity,"MACQUARIE CAPITAL SECURITIES (PHILIPPINES), INC.", 260.00 
AEV PM Equity,"BELSON SECURITIES, INC.", 262.00 
AEV PM Equity,"BENJAMIN CO CA & CO., INC."," 4,510.00 "
AEV PM Equity,B. H. CHUA SECURITIES CORPORATION," 158,520.00 "
AEV PM Equity,JAKA SECURITIES CORP.," 2,480.00 "
AEV PM Equity,BPI SECURITIES CORPORATION," 7,970,382.00 "
AEV PM Equity,"CAMPOS, LANUZA & COMPANY, INC."," 356,320.00 "
AEV PM Equity,SINCERE SECURITIES CORPORATION," 2,000.00 "
AEV PM Equity,CENTURY SECURITIES CORPORATION," 22,020.00 "
AEV PM Equity,"CTS GLOBAL EQUITY GROUP, INC."," 431,330.00 "
AEV PM Equity,"LUNA SECURITIES, INC."," 1,600.00 "
AEV PM Equity,TRITON SECURITIES CORP.," 356,660.00 "
AEV PM Equity,IGC SECURITIES INC.," 2,011,495.00 "
AEV PM Equity,CUALOPING SECURITIES CORPORATION, 920.00 
AEV PM Equity,DAVID GO SECURITIES CORP.," 1,748,110.00 "
AEV PM Equity,"DIVERSIFIED SECURITIES, INC."," 14,950.00 "
AEV PM Equity,"E. CHUA CHIACO SECURITIES, INC."," 330,820.00 "
AEV PM Equity,EQUITABLE SECURITIES (PHILS.) INC., 120.00 
AEV PM Equity,EAST WEST CAPITAL CORPORATION," 4,100.00 "
AEV PM Equity,EASTERN SECURITIES DEVELOPMENT CORPORATION," 460,913.00 "
AEV PM Equity,"GREEN STOCK BROKERAGE & SEC., INC."," 222,600.00 "
AEV PM Equity,"FIRST ORIENT SECURITIES, INC."," 50,681.00 "
AEV PM Equity,"FIRST INTEGRATED CAPITAL SECURITIES, INC."," 114,200.00 "
AEV PM Equity,"F. YAP SECURITIES, INC."," 541,073.00 "
AEV PM Equity,"AURORA SECURITIES, INC."," 150,840.00 "
AEV PM Equity,"GLOBALINKS SECURITIES & STOCKS, INC."," 270,800.00 "
AEV PM Equity,"JSG SECURITIES, INC."," 411,340.00 "
AEV PM Equity,"GOLDSTAR SECURITIES, INC."," 430,910.00 "
AEV PM Equity,"GUILD SECURITIES, INC."," 41,640.00 "
AEV PM Equity,"HDI SECURITIES, INC."," 582,541.00 "
AEV PM Equity,"H. E. BENNETT SECURITIES, INC."," 213,495.00 "
AEV PM Equity,"HIGHLAND SECURITIES PHIL., INC."," 47,060.00 "
AEV PM Equity,"HK SECURITIES, INC.", 512.00 
AEV PM Equity,"I. ACKERMAN & CO., INC."," 102,810.00 "
AEV PM Equity,"I. B. GIMENEZ SECURITIES, INC."," 40,759.00 "
AEV PM Equity,"INVESTORS SECURITIES, INC."," 169,160.00 "
AEV PM Equity,"IMPERIAL, DE GUZMAN, ABALOS & CO., INC."," 184,326.00 "
AEV PM Equity,"INTRA-INVEST SECURITIES, INC."," 162,096.00 "
AEV PM Equity,"ASIAN CAPITAL EQUITIES, INC."," 25,718.00 "
AEV PM Equity,VALUE QUEST SECURITIES CORPORATION," 381,525.00 "
AEV PM Equity,STRATEGIC EQUITIES CORP.," 511,332.00 "
AEV PM Equity,"LARRGO SECURITIES CO., INC."," 46,720.00 "
AEV PM Equity,"LOPEZ, LOCSIN, LEDESMA & CO., INC."," 35,200.00 "
AEV PM Equity,"LUCKY SECURITIES, INC."," 113,850.00 "
AEV PM Equity,"LUYS SECURITIES COMPANY, INC."," 31,820.00 "
AEV PM Equity,MANDARIN SECURITIES CORPORATION," 187,453.00 "
AEV PM Equity,MARINO OLONDRIZ Y CIA," 110,100.00 "
AEV PM Equity,"COL Financial Group, Inc."," 10,220,389.00 "
AEV PM Equity,"DA MARKET SECURITIES, INC."," 2,146,156.00 "
AEV PM Equity,MERCANTILE SECURITIES CORP.," 45,000.00 "
AEV PM Equity,"MERIDIAN SECURITIES, INC."," 69,923.00 "
AEV PM Equity,"MDR SECURITIES, INC."," 107,580.00 "
AEV PM Equity,"REGIS PARTNERS, INC."," 20,304,202.00 "
AEV PM Equity,"MOUNT PEAK SECURITIES, INC."," 1,553.00 "
AEV PM Equity,"NEW WORLD SECURITIES CO., INC."," 22,720.00 "
AEV PM Equity,OPTIMUM SECURITIES CORPORATION," 160,804.00 "
AEV PM Equity,"RCBC SECURITIES, INC."," 938,356.00 "
AEV PM Equity,PAN ASIA SECURITIES CORP.," 67,320.00 "
AEV PM Equity,PAPA SECURITIES CORPORATION," 330,314,739.00 "
AEV PM Equity,"MAYBANK SECURITIES, INC."," 17,863,462.00 "
AEV PM Equity,"PLATINUM SECURITIES, INC."," 123,737.00 "
AEV PM Equity,"PNB SECURITIES, INC."," 4,113,025.00 "
AEV PM Equity,"PREMIUM SECURITIES, INC."," 137,064.00 "
AEV PM Equity,"PRYCE SECURITIES, INC."," 4,858.00 "
AEV PM Equity,SALISBURY SECURITIES CORPORATION," 75,854.00 "
AEV PM Equity,QUALITY INVESTMENTS & SECURITIES CORPORATION," 396,140.00 "
AEV PM Equity,ALAKOR SECURITIES CORPORATION," 249,900.00 "
AEV PM Equity,"R. COYIUTO SECURITIES, INC."," 570,141.00 "
AEV PM Equity,REGINA CAPITAL DEVELOPMENT CORPORATION," 1,843,966.00 "
AEV PM Equity,"R. NUBLA SECURITIES, INC."," 2,376,777.00 "
AEV PM Equity,"AAA SOUTHEAST EQUITIES, INCORPORATED"," 616,780.00 "
AEV PM Equity,"R. S. LIM & CO., INC."," 211,891.00 "
AEV PM Equity,"RTG & COMPANY, INC."," 126,340.00 "
AEV PM Equity,"S.J. ROXAS & CO., INC."," 90,440.00 "
AEV PM Equity,"SECURITIES SPECIALISTS, INC."," 53,820.00 "
AEV PM Equity,"FIDELITY SECURITIES, INC."," 67,140.00 "
AEV PM Equity,"SUMMIT SECURITIES, INC."," 1,158,932.00 "
AEV PM Equity,STANDARD SECURITIES CORPORATION," 468,010.00 "
AEV PM Equity,"SUPREME STOCKBROKERS, INC"," 75,620.00 "
AEV PM Equity,"TANSENGCO & CO., INC."," 249,448.00 "
AEV PM Equity,THE FIRST RESOURCES MANAGEMENT & SECURITIES CORP.," 443,740.00 "
AEV PM Equity,"TOWER SECURITIES, INC."," 1,033,404.00 "
AEV PM Equity,APEX PHILIPPINES EQUITIES CORPORATION," 3,530.00 "
AEV PM Equity,TRENDLINE SECURITIES CORPORATION," 33,320.00 "
AEV PM Equity,"DRAGONFI SECURITIES, INC."," 146,762.00 "
AEV PM Equity,"LANDBANK SECURITIES, INC."," 530,060.00 "
AEV PM Equity,"UOB KAY HIAN SECURITIES (PHILS.), INC."," 463,500.00 "
AEV PM Equity,"E.SECURITIES, INC."," 58,080.00 "
AEV PM Equity,"VENTURE SECURITIES, INC."," 111,152.00 "
AEV PM Equity,FIRST METRO SECURITIES BROKERAGE CORP.," 7,117,146.00 "
AEV PM Equity,"WEALTH SECURITIES, INC."," 10,574,454.00 "
AEV PM Equity,"BERNAD SECURITIES, INC."," 38,360.00 "
AEV PM Equity,WONG SECURITIES CORPORATION," 1,820.00 "
AEV PM Equity,"YAO & ZIALCITA, INC."," 398,740.00 "
AEV PM Equity,"YU & COMPANY, INC."," 312,630.00 "
AEV PM Equity,BDO SECURITIES CORPORATION," 23,231,584.00 "
AEV PM Equity,"EAGLE EQUITIES, INC."," 553,006.00 "
AEV PM Equity,"GOLDEN TOWER SECURITIES & HOLDINGS, INC."," 184,350.00 "
AEV PM Equity,"SOLAR SECURITIES, INC."," 312,200.00 "
AEV PM Equity,"G.D. TAN & COMPANY, INC."," 80,760.00 "
AEV PM Equity,"CLSA PHILIPPINES, INC.", 50.00 
AEV PM Equity,"PHILIPPINE EQUITY PARTNERS, INC."," 11,075,641.00 "
AEV PM Equity,UNICAPITAL SECURITIES INC.," 1,362,040.00 "
AEV PM Equity,"SunSecurities, Inc."," 3,859,080.00 "
AEV PM Equity,"ARMSTRONG SECURITIES, INC."," 12,920.00 "
AEV PM Equity,"TIMSON SECURITIES, INC."," 87,400.00 "
AEV PM Equity,STAR ALLIANCE SECURITIES CORP.," 1,580,510.00 "
AEV PM Equity,VC SECURITIES CORPORATION," 603,400.00 "
AEV PM Equity,CHINA BANKING CORPORATION - TRUST GROUP," 1,211,230.00 "
AEV PM Equity,CITIBANK N.A.," 274,401,342.00 "
AEV PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 73,693,881.00 "
AEV PM Equity,BANCO DE ORO - TRUST BANKING GROUP," 66,758,066.00 "
AEV PM Equity,BANK OF COMMERCE - TRUST SERVICES GROUP," 149,030.00 "
AEV PM Equity,PNB TRUST BANKING GROUP," 3,768,780.00 "
AEV PM Equity,RCBC TRUST CORPORATION," 954,000.00 "
AEV PM Equity,RCBC TRUST CORPORATION," 1,068,990.00 "
AEV PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 7,650,039.00 "
AEV PM Equity,STANDARD CHARTERED BANK," 123,737,264.00 "
AEV PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 13,158,115.00 "
AEV PM Equity,UNITED COCONUT PLANTERS LIFE ASSURANCE CORPORATION," 793,340.00 "
AEV PM Equity,ASIA UNITED BANK - TRUST & INVESTMENT GROUP," 387,600.00 "
AEV PM Equity,MBTC - TRUST BANKING GROUP," 17,107,220.00 "
AEV PM Equity,SOCIAL SECURITY SYSTEM," 48,676,960.00 "
AEV PM Equity,GOVERNMENT SERVICE INSURANCE SYSTEM," 93,298,701.00 "
AEV PM Equity,AB CAPITAL & INVESTMENT CORP. - TRUST & INVESTMENT DIV.," 133,640.00 "
AEV PM Equity,BDO-TIG SECURITIES SERVICES," 444,270.00 "
AEV PM Equity,"COCOPLANS, INC."," 33,380.00 "
AEV PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 42,844,320.00 "
AEV PM Equity,LAND BANK OF THE PHILIPPINES-TRUST BANKING GROUP," 1,175,222.00 "
AEV PM Equity,"UCPB GENERAL INSURANCE CO., INC."," 112,310.00 "
AEV PM Equity,LBP-TBG THIRD PARTY CUSTODIANSHIP & REGISTRY DEPT," 5,765,640.00 "
AEV PM Equity,"UNITED FUND, INC."," 711,080.00 "
AEV PM Equity,EASTWEST BANKING CORPORATION - TRUST DIVISION," 305,100.00 "
AEV PM Equity,SSS PROVIDENT FUND," 1,275,260.00 "
AEV PM Equity,COL Inv Mgt Inc as Investment Company Adviser for Various Mutual Funds," 157,641.00 "
URC PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 181,192,001.00 "
URC PM Equity,CITIBANK N.A.," 151,703,028.00 "
URC PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 133,803,516.00 "
URC PM Equity,STANDARD CHARTERED BANK," 111,735,865.00 "
URC PM Equity,GOVERNMENT SERVICE INSURANCE SYSTEM," 81,112,280.00 "
URC PM Equity,DEUTSCHE BANK MANILA-CLIENTS A/C," 36,486,424.00 "
URC PM Equity,SOCIAL SECURITY SYSTEM," 32,173,577.00 "
URC PM Equity,BANCO DE ORO - TRUST BANKING GROUP.," 30,720,323.00 "
URC PM Equity,"COL Financial Group, Inc."," 14,884,676.00 "
URC PM Equity,THE HONGKONG AND SHANGHAI BANKING CORP. LTD. -CLIENTS' ACCT.," 12,467,024.00 "
URC PM Equity,FIRST METRO SECURITIES BROKERAGE CORP.," 10,156,987.00 "
URC PM Equity,MBTC - TRUST BANKING GROUP," 9,229,329.00 "
URC PM Equity,"WEALTH SECURITIES, INC."," 7,544,318.00 "
URC PM Equity,BDO SECURITIES CORPORATION," 7,205,289.00 "
URC PM Equity,"AB CAPITAL SECURITIES, INC."," 6,994,424.00 "
URC PM Equity,BPI SECURITIES CORPORATION," 6,461,040.00 "
URC PM Equity,"PHILIPPINE EQUITY PARTNERS, INC."," 4,118,945.00 "
URC PM Equity,"PNB SECURITIES, INC."," 3,076,808.00 "
URC PM Equity,ABACUS SECURITIES CORPORATION," 3,063,216.00 "
URC PM Equity,"MAYBANK SECURITIES, INC."," 2,841,445.00 "
URC PM Equity,"A & A SECURITIES, INC."," 2,450,650.00 "
URC PM Equity,"TOWER SECURITIES, INC."," 2,357,112.00 "
URC PM Equity,AB CAPITAL & INVESTMENT CORP. - TRUST & INVESTMENT DIV.," 2,269,091.00 "
URC PM Equity,LBP-TBG THIRD PARTY CUSTODIANSHIP & REGISTRY DEPT," 2,140,870.00 "
URC PM Equity,"SB EQUITIES, INC."," 2,081,872.00 "
URC PM Equity,"ASIASEC EQUITIES, INC."," 1,890,829.00 "
URC PM Equity,PNB TRUST BANKING GROUP.," 1,822,210.00 "
URC PM Equity,"REGIS PARTNERS, INC."," 1,698,077.00 "
URC PM Equity,IGC SECURITIES INC.," 1,600,096.00 "
URC PM Equity,CHINA BANKING CORPORATION - TRUST GROUP," 1,523,610.00 "
URC PM Equity,"RCBC SECURITIES, INC."," 1,332,646.00 "
URC PM Equity,RCBC TRUST CORPORATION," 1,286,300.00 "
URC PM Equity,PAPA SECURITIES CORPORATION," 1,225,154.00 "
URC PM Equity,"R. NUBLA SECURITIES, INC."," 1,094,657.00 "
URC PM Equity,UNICAPITAL SECURITIES INC.," 1,049,959.00 "
URC PM Equity,STAR ALLIANCE SECURITIES CORP.," 1,033,510.00 "
URC PM Equity,CHINA BANK SECURITIES CORPORATION," 1,007,896.00 "
URC PM Equity,PHILSTOCKS FINANCIAL INC," 981,302.00 "
URC PM Equity,STANDARD SECURITIES CORPORATION," 947,356.00 "
URC PM Equity,QUALITY INVESTMENTS & SECURITIES CORPORATION," 722,269.00 "
URC PM Equity,ASIA UNITED BANK - TRUST & INVESTMENT GROUP," 596,670.00 "
URC PM Equity,"BELSON SECURITIES, INC."," 544,256.00 "
URC PM Equity,RCBC TRUST CORPORATION," 529,570.00 "
URC PM Equity,"MERIDIAN SECURITIES, INC."," 497,120.00 "
URC PM Equity,AP SECURITIES INCORPORATED," 488,758.00 "
URC PM Equity,LAND BANK OF THE PHILIPPINES-TRUST BANKING GROUP," 463,748.00 "
URC PM Equity,"PLATINUM SECURITIES, INC."," 454,660.00 "
URC PM Equity,"BA SECURITIES, INC."," 439,470.00 "
